url,video_id,category,creator,topic,priority
https://www.youtube.com/watch?v=5q87K1WaoDR,5q87K1WaoDR,programming tutorials,Harvard CS50,python,1
https://www.youtube.com/watch?v=70bSF1MN8fk,70bSF1MN8fk,programming tutorials,MIT OpenCourseWare,computer-science,1
https://www.youtube.com/watch?v=2ePf9rue1Ao,2ePf9rue1Ao,programming tutorials,MIT OpenCourseWare,algorithms,1
https://www.youtube.com/watch?v=W5J5JHal5-c,W5J5JHal5-c,programming tutorials,MIT OpenCourseWare,algorithms,2
https://www.youtube.com/watch?v=3q1t5YcUAb8,3q1t5YcUAb8,programming tutorials,Traversy Media,mern-stack,1
https://www.youtube.com/watch?v=bkV9g5LtSgk,bkV9g5LtSgk,programming tutorials,Traversy Media,python,2
https://www.youtube.com/watch?v=yDJCDHA5ni0,yDJCDHA5ni0,programming tutorials,Traversy Media,react-hooks,1
https://www.youtube.com/watch?v=HGoYwMBk6a8,HGoYwMBk6a8,programming tutorials,Corey Schafer,python-oop,1
https://www.youtube.com/watch?v=DZtn3fDLMTA,DZtn3fDLMTA,programming tutorials,Corey Schafer,python-decorators,2
https://www.youtube.com/watch?v=Da-2h2B4fbU,Da-2h2B4fbU,programming tutorials,Corey Schafer,flask,1
https://www.youtube.com/watch?v=jBzwzrDvZbc,jBzwzrDvZbc,programming tutorials,Corey Schafer,python,2
https://www.youtube.com/watch?v=HGOBQPFzWKo,HGOBQPFzWKo,programming tutorials,Corey Schafer,terminal,2
https://www.youtube.com/watch?v=eWRfhZUzrAc,eWRfhZUzrAc,programming tutorials,Corey Schafer,python,2
https://www.youtube.com/watch?v=7wnove7K-ZQ,7wnove7K-ZQ,programming tutorials,Corey Schafer,python,2
https://www.youtube.com/watch?v=fKl2JW_qrso,fKl2JW_qrso,programming tutorials,Corey Schafer,django,1
https://www.youtube.com/watch?v=N5vscRTVt7M,N5vscRTVt7M,programming tutorials,Corey Schafer,django,2
https://www.youtube.com/watch?v=UmljXZIypDc,UmljXZIypDc,programming tutorials,Corey Schafer,django,2
https://www.youtube.com/watch?v=c4M26jsVr70,c4M26jsVr70,programming tutorials,Corey Schafer,django,2
https://www.youtube.com/watch?v=HkvKkDpt0hs,HkvKkDpt0hs,programming tutorials,freeCodeCamp,django,1
https://www.youtube.com/watch?v=xWi8n2DQX2k,xWi8n2DQX2k,programming tutorials,freeCodeCamp,laravel,1
https://www.youtube.com/watch?v=GoCF3RLr7b8,GoCF3RLr7b8,programming tutorials,freeCodeCamp,spring-boot,1
https://www.youtube.com/watch?v=PZ7lDRQJroe,PZ7lDRQJroe,programming tutorials,freeCodeCamp,flask,1
https://www.youtube.com/watch?v=pQRNCAgH5Jg,pQRNCAgH5Jg,programming tutorials,freeCodeCamp,bootstrap,2
https://www.youtube.com/watch?v=9kkem8v-8Z0,9kkem8v-8Z0,programming tutorials,freeCodeCamp,linux,1
https://www.youtube.com/watch?v=3YS713M0aek,3YS713M0aek,programming tutorials,freeCodeCamp,cybersecurity,1
https://www.youtube.com/watch?v=9cKsq14Kfsw,9cKsq14Kfsw,programming tutorials,freeCodeCamp,mongodb,1
https://www.youtube.com/watch?v=i_LwzRVP7bg,i_LwzRVP7bg,programming tutorials,freeCodeCamp,bootstrap,2
https://www.youtube.com/watch?v=BI1Ak2DJ9yk,BI1Ak2DJ9yk,programming tutorials,freeCodeCamp,ethical-hacking,2
https://www.youtube.com/watch?v=AwesGL0cnF0,AwesGL0cnF0,programming tutorials,freeCodeCamp,ui-ux,2
https://www.youtube.com/watch?v=2ybLD6_2gKM,2ybLD6_2gKM,programming tutorials,freeCodeCamp,seo,3
https://www.youtube.com/watch?v=9zKGFVTMF-M,9zKGFVTMF-M,programming tutorials,freeCodeCamp,blender,3
https://www.youtube.com/watch?v=7SnyY0KTUcg,7SnyY0KTUcg,programming tutorials,freeCodeCamp,data-analysis,1
https://www.youtube.com/watch?v=LfaMVlDaE5c,LfaMVlDaE5c,programming tutorials,freeCodeCamp,power-bi,2
https://www.youtube.com/watch?v=CLLTZTU8tuo,CLLTZTU8tuo,programming tutorials,freeCodeCamp,tableau,2
https://www.youtube.com/watch?v=qIsgdOVGA04,qIsgdOVGA04,programming tutorials,freeCodeCamp,excel,2
https://www.youtube.com/watch?v=FgzE3v6sv0U,FgzE3v6sv0U,programming tutorials,freeCodeCamp,bootstrap,2
https://www.youtube.com/watch?v=pTFZFgx4IbM,pTFZFgx4IbM,programming tutorials,freeCodeCamp,flutter,1
https://www.youtube.com/watch?v=VPvVD8t02Z8,VPvVD8t02Z8,programming tutorials,freeCodeCamp,flutter,2
https://www.youtube.com/watch?v=ItZ2TmIj40U,ItZ2TmIj40U,programming tutorials,The Net Ninja,javascript,1
https://www.youtube.com/watch?v=iLBT0lOdLFQ,iLBT0lOdLFQ,programming tutorials,The Net Ninja,vue,1
https://www.youtube.com/watch?v=YrxBCB_bVgM,YrxBCB_bVgM,programming tutorials,The Net Ninja,nuxt,2
https://www.youtube.com/watch?v=bi5vhY9CLfw,bi5vhY9CLfw,programming tutorials,The Net Ninja,vuex,2
https://www.youtube.com/watch?v=3aS1KRz_Z9k,3aS1KRz_Z9k,programming tutorials,The Net Ninja,tailwind,1
https://www.youtube.com/watch?v=wN0Vc7-redY,wN0Vc7-redY,programming tutorials,freeCodeCamp,csharp,1
https://www.youtube.com/watch?v=qB2U2eWx3uA,qB2U2eWx3uA,programming tutorials,freeCodeCamp,unity,2
https://www.youtube.com/watch?v=gB1F9G0JXOo,gB1F9G0JXOo,programming tutorials,freeCodeCamp,unreal-engine,2
https://www.youtube.com/watch?v=G_EptEUsIkw,G_EptEUsIkw,programming tutorials,freeCodeCamp,angular,1
https://www.youtube.com/watch?v=2qQWl9H3Y1s,2qQWl9H3Y1s,programming tutorials,freeCodeCamp,swift,1
https://www.youtube.com/watch?v=pE0a4KnSE22,pE0a4KnSE22,programming tutorials,freeCodeCamp,kotlin-android,2
https://www.youtube.com/watch?v=1Xj73ygVVoo,1Xj73ygVVoo,programming tutorials,freeCodeCamp,react-native,2
https://www.youtube.com/watch?v=B31LgI4Y4DQ,B31LgI4Y4DQ,programming tutorials,freeCodeCamp,terraform,1
https://www.youtube.com/watch?v=SLB4Z5VoWNE,SLB4Z5VoWNE,programming tutorials,freeCodeCamp,kubernetes,1
https://www.youtube.com/watch?v=3c-iBn73dDE,3c-iBn73dDE,programming tutorials,freeCodeCamp,aws,1
https://www.youtube.com/watch?v=jZdaM2OLfmQ,jZdaM2OLfmQ,programming tutorials,freeCodeCamp,git-github,2
https://www.youtube.com/watch?v=zJch2fphYYA,zJch2fphYYA,programming tutorials,freeCodeCamp,devops,2
https://www.youtube.com/watch?v=nu6mMF4BgOI,nu6mMF4BgOI,programming tutorials,freeCodeCamp,postgresql,1
https://www.youtube.com/watch?v=QIyk-gU9b18,QIyk-gU9b18,programming tutorials,freeCodeCamp,redis,2
https://www.youtube.com/watch?v=OFS90tXvk9Q,OFS90tXvk9Q,programming tutorials,Traversy Media,javascript,1
https://www.youtube.com/watch?v=hdI2bqOjy3c,hdI2bqOjy3c,programming tutorials,Traversy Media,javascript,2
https://www.youtube.com/watch?v=PoRJizFvM7s,PoRJizFvM7s,programming tutorials,Traversy Media,react,1
https://www.youtube.com/watch?v=4UZrsTqkcTI,4UZrsTqkcTI,programming tutorials,Traversy Media,nextjs,1
https://www.youtube.com/watch?v=SBmSRk3Feww,SBmSRk3Feww,programming tutorials,Traversy Media,vue,1
https://www.youtube.com/watch?v=Ke90YMEj5kY,Ke90YMEj5kY,programming tutorials,Traversy Media,mongodb,2
https://www.youtube.com/watch?v=1PnVq36WuJE,1PnVq36WuJE,programming tutorials,freeCodeCamp,ruby,2
https://www.youtube.com/watch?v=vp9sH8kPL88,vp9sH8kPL88,programming tutorials,freeCodeCamp,elixir,3
https://www.youtube.com/watch?v=9z12uzaicRw,9z12uzaicRw,programming tutorials,freeCodeCamp,scala,3
https://www.youtube.com/watch?v=1W3yy0YJpjE,1W3yy0YJpjE,programming tutorials,freeCodeCamp,haskell,3
https://www.youtube.com/watch?v=1OALW-RrRVk,1OALW-RrRVk,programming tutorials,freeCodeCamp,assembly,3
https://www.youtube.com/watch?v=nBuS-WjidY8,nBuS-WjidY8,programming tutorials,MIT OpenCourseWare,linear-algebra,1
https://www.youtube.com/watch?v=6xTHwMtNq_Y,6xTHwMtNq_Y,programming tutorials,Stanford Online,machine-learning,1
https://www.youtube.com/watch?v=jGw_UM8cfgA,jGw_UM8cfgA,programming tutorials,3Blue1Brown,neural-networks,1
https://www.youtube.com/watch?v=aircAruvnKk,aircAruvnKk,programming tutorials,3Blue1Brown,neural-networks,1
https://www.youtube.com/watch?v=IHZwWFHWa-w,IHZwWFHWa-w,programming tutorials,3Blue1Brown,linear-algebra,1
https://www.youtube.com/watch?v=WUvTyaaNkzM,WUvTyaaNkzM,programming tutorials,MIT OpenCourseWare,mathematics,2
https://www.youtube.com/watch?v=M8HrtodtpL4,M8HrtodtpL4,programming tutorials,freeCodeCamp,blockchain,2
https://www.youtube.com/watch?v=sY8-YISYpVu,sY8-YISYpVu,AI podcasts,Lex Fridman,demis-hassabis,1
https://www.youtube.com/watch?v=mC43CHIhjTQ,mC43CHIhjTQ,AI podcasts,Lex Fridman,andrew-ng,1
https://www.youtube.com/watch?v=U0wbhLNSk-s,U0wbhLNSk-s,AI podcasts,Lex Fridman,yann-lecun,1
https://www.youtube.com/watch?v=Whtt2H5_isM,Whtt2H5_isM,AI podcasts,Lex Fridman,max-tegmark,1
https://www.youtube.com/watch?v=cFUUS5ZKY2s,cFUUS5ZKY2s,AI podcasts,Lex Fridman,joscha-bach,2
https://www.youtube.com/watch?v=hg44HjfEB6E,hg44HjfEB6E,AI podcasts,Lex Fridman,ray-kurzweil,1
https://www.youtube.com/watch?v=t06RUxP5_cU,t06RUxP5_cU,AI podcasts,Lex Fridman,roger-penrose,2
https://www.youtube.com/watch?v=59bMfm-Orns,59bMfm-Orns,AI podcasts,Lex Fridman,vitalik-buterin,1
https://www.youtube.com/watch?v=KQ-9oAznq0w,KQ-9oAznq0w,AI podcasts,Lex Fridman,john-carmack,1
https://www.youtube.com/watch?v=W87vgxZ-uXs,W87vgxZ-uXs,AI podcasts,Lex Fridman,francois-chollet,1
https://www.youtube.com/watch?v=iZjby1IDH8k,iZjby1IDH8k,AI podcasts,Lex Fridman,yuval-harari,2
https://www.youtube.com/watch?v=NHnfuj7iDJc,NHnfuj7iDJc,AI podcasts,Lex Fridman,george-hotz,2
https://www.youtube.com/watch?v=mwKJfNYwvm8,mwKJfNYwvm8,AI podcasts,Lex Fridman,eric-weinstein,2
https://www.youtube.com/watch?v=gPfpei_VShQ,gPfpei_VShQ,AI podcasts,Lex Fridman,ben-goertzel,2
https://www.youtube.com/watch?v=vfYmkj4rC3Q,vfYmkj4rC3Q,AI podcasts,Lex Fridman,michio-kaku,2
https://www.youtube.com/watch?v=Q0nGo2-y0xY,Q0nGo2-y0xY,AI podcasts,Lex Fridman,donald-knuth,1
https://www.youtube.com/watch?v=iFjMf6zzD0Q,iFjMf6zzD0Q,AI podcasts,Lex Fridman,sam-harris,2
